User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,sentiment
Enterprise Leader,@EnterpriseLeade,2019-02-17T07:34:21.000Z,"Enterprise Leader
@EnterpriseLeade
·
Feb 17, 2019Q4 2019 EPS Estimates for FMC Corp Lowered by Analyst $FMC  http://theenterpriseleader.com/?p=1888710",,,,negative
MarketBeat,@MarketBeatCom,2019-02-17T06:59:08.000Z,"MarketBeat
@MarketBeatCom
·
Feb 17, 2019FMC Corp Expected to Earn Q3 2019 Earnings of $1.00 Per Share $FMC http://zpr.io/gNWMF
1",,1.0,,positive
Raju Kapoor,@rajukap,2019-02-17T00:31:57.000Z,"Raju Kapoor
@rajukap
·
Feb 17, 2019@FMCCorp
 is strongly committed to supporting #farmers' right to use #genuine #crop #protection products. Suggested steps to control counterfeiting at 
@ficci_india
 National Roundtable against counterfeits. 
@AshokDalwai
 @AgriGoI
 @RadhamohanBJP
 @CropLifeIntl
1
2",,1.0,2.0,neutral
FMC Corporation,@FMCCorp,2019-02-16T20:45:02.000Z,"FMC Corporation
@FMCCorp
·
Feb 16, 2019Our very own 
@rajukap
 talks to 
@CropLifeIndia
 about preventing the use of counterfeit pesticides.
CropLifeIndia
@CropLifeIndia
·
Feb 15, 2019
Mr. @rajukap, Director, Public Affairs, @FMCCorp speaking on Counterfeit pesticides and role being played by @CropLifeIndia at @ficci_india's Roundtable on Supporting farmers with Quality Crop Protection Products..
2
7",,2.0,7.0,neutral
WKRB News,@WKRBNews,2019-02-16T09:07:19.000Z,"WKRB News
@WKRBNews
·
Feb 16, 2019Analysts Set Expectations for FMC Corp’s FY2023 Earnings $FMC http://wkrb13.com/?p=908952 #markets",,,,neutral
MarketBeat,@MarketBeatCom,2019-02-16T08:43:08.000Z,"MarketBeat
@MarketBeatCom
·
Feb 16, 2019FMC Corp to Post Q4 2019 Earnings of $1.30 Per Share, Jefferies Financial Group Forecasts $FMC http://zpr.io/gN5Gz",,,,positive
Ticker Report,@TickerReport,2019-02-16T07:57:55.000Z,"Ticker Report
@TickerReport
·
Feb 16, 2019SunTrust Banks Weighs in on FMC Corp’s Q3 2019 Earnings $FMC http://tickerreport.com/?p=4155790",,,,neutral
MidEast Times,@midetimes,2019-02-16T07:55:16.000Z,"MidEast Times
@midetimes
·
Feb 16, 2019SunTrust Banks Weighs in on FMC Corp’s Q3 2019 Earnings $FMC http://dailypolitical.com/?p=2723891 #stocks",,,,neutral
Daily Political,@dailypoliticaln,2019-02-16T07:55:15.000Z,"Daily Political
@dailypoliticaln
·
Feb 16, 2019SunTrust Banks Weighs in on FMC Corp’s Q3 2019 Earnings $FMC http://dailypolitical.com/?p=2723891",,,,neutral
Storm Investor,@storminvestor,2019-02-16T07:17:59.000Z,"Storm Investor
@storminvestor
·
Feb 16, 2019FMC Corp Expected to Post Q1 2019 Earnings of $1.62 Per Share $FMC  http://thestockobserver.com/?p=1945332 #markets",,,,neutral
Dakota Financial,@dakotafinancial,2019-02-16T06:56:33.000Z,"Dakota Financial
@dakotafinancial
·
Feb 16, 2019FMC Corp Forecasted to Earn Q1 2019 Earnings of $1.64 Per Share $FMC http://dakotafinancialnews.com/?p=842728",,,,positive
Storm Investor,@storminvestor,2019-02-16T06:54:15.000Z,"Storm Investor
@storminvestor
·
Feb 16, 2019Q1 2019 EPS Estimates for FMC Corp Lowered by Seaport Global Securities $FMC  http://thestockobserver.com/?p=1945283 #markets",,,,neutral
The Markets Daily,@TheMarketsDaily,2019-02-16T06:50:57.000Z,"The Markets Daily
@TheMarketsDaily
·
Feb 16, 2019Q1 2019 EPS Estimates for FMC Corp Lowered by Seaport Global Securities $FMC http://zpr.io/gNLNQ",,,,neutral
ऑफिस ऑफ ठाकुर साहब,@X51Jqo30Qj9A5B5,2019-02-16T06:41:28.000Z,"ऑफिस ऑफ ठाकुर साहब
@X51Jqo30Qj9A5B5
·
Feb 16, 2019@Syngenta
 @Bayer
 @FMCCorp
 @DowAgro कुछ सबक लीजिए zydus से आप भी
M.S.Hitesh Mohan
@mshiteshmohan
·
Feb 15, 2019
दद्दाजीकहिन:
#Phulwama 
#WellDoneZydus
अब जाग उठा है मेरा देश....हर देशद्रोही हमारा को सबक सिखाईये...जहाँ भी हो ।
1
1",,1.0,1.0,neutral
FMC Corporation,@FMCCorp,2019-02-15T17:50:20.000Z,"FMC Corporation
@FMCCorp
·
Feb 15, 2019R&D Day '19 is currently underway at our Stine Research Center. It's a great time for our employees to connect with leadership and colleagues, while learning more about our pipeline of innovative solutions.
2
15",,2.0,15.0,neutral
FMC Corporation,@FMCCorp,2019-02-15T17:00:35.000Z,"FMC Corporation
@FMCCorp
·
Feb 15, 2019Want to work for FMC? We're looking for a Global Regulatory Specialist at Newark, DE #Job #Career
social.icims.com
in
6
6",,6.0,6.0,neutral
FMC Corporation,@FMCCorp,2019-02-15T15:00:03.000Z,"FMC Corporation
@FMCCorp
·
Feb 15, 2019Myth: Agriculture is a limited career field. 
Fact: By 2020, expect to see 57,900 average annual openings for graduates with bachelor’s or higher degrees in food, ag and environment areas. Check them out at: https://buff.ly/2RX3dzo  
#YouthInAg
3",,,3.0,neutral
Community Financial,@CFinancialNews,2019-02-15T14:45:14.000Z,"Community Financial
@CFinancialNews
·
Feb 15, 2019FMC Corp Forecasted to Earn FY2023 Earnings of $9.55 Per Share $FMC http://americanbankingnews.com/?p=9535001 #markets",,,,neutral
US Banking News,@AmericanBanking,2019-02-15T14:45:13.000Z,"US Banking News
@AmericanBanking
·
Feb 15, 2019FMC Corp Forecasted to Earn FY2023 Earnings of $9.55 Per Share $FMC http://americanbankingnews.com/?p=9535001 #stocks",,,,positive
Dakota Financial,@dakotafinancial,2019-02-15T14:44:56.000Z,"Dakota Financial
@dakotafinancial
·
Feb 15, 2019FMC Corp Forecasted to Earn FY2023 Earnings of $9.55 Per Share $FMC http://dakotafinancialnews.com/?p=840885",,,,positive
Community Financial,@CFinancialNews,2019-02-15T14:30:04.000Z,"Community Financial
@CFinancialNews
·
Feb 15, 2019FMC Corp to Post Q4 2019 Earnings of $1.30 Per Share, Jefferies Financial Group Forecasts $FMC http://americanbankingnews.com/?p=9534795 #markets",,,,neutral
US Banking News,@AmericanBanking,2019-02-15T14:30:03.000Z,"US Banking News
@AmericanBanking
·
Feb 15, 2019FMC Corp to Post Q4 2019 Earnings of $1.30 Per Share, Jefferies Financial Group Forecasts $FMC http://americanbankingnews.com/?p=9534795 #stocks",,,,neutral
Watchlist News,@WatchlistN,2019-02-15T14:29:32.000Z,"Watchlist News
@WatchlistN
·
Feb 15, 2019FMC Corp to Post Q4 2019 Earnings of $1.30 Per Share, Jefferies Financial Group Forecasts $FMC http://zpr.io/gN8S9",,,,neutral
Community Financial,@CFinancialNews,2019-02-15T13:49:17.000Z,"Community Financial
@CFinancialNews
·
Feb 15, 2019FMC Corp $FMC Expected to Post Q3 2019 Earnings of $1.00 Per Share http://americanbankingnews.com/?p=9533923 #markets",,,,neutral
US Banking News,@AmericanBanking,2019-02-15T13:49:17.000Z,"US Banking News
@AmericanBanking
·
Feb 15, 2019FMC Corp $FMC Expected to Post Q3 2019 Earnings of $1.00 Per Share http://americanbankingnews.com/?p=9533923 #stocks",,,,neutral
The Markets Daily,@TheMarketsDaily,2019-02-15T13:47:30.000Z,"The Markets Daily
@TheMarketsDaily
·
Feb 15, 2019FMC Corp $FMC Forecasted to Earn Q3 2019 Earnings of $1.00 Per Share http://zpr.io/gN87k",,,,positive
Community Financial,@CFinancialNews,2019-02-15T13:24:40.000Z,"Community Financial
@CFinancialNews
·
Feb 15, 2019Seaport Global Securities Analysts Reduce Earnings Estimates for FMC Corp $FMC http://americanbankingnews.com/?p=9533492 #markets",,,,negative
US Banking News,@AmericanBanking,2019-02-15T13:24:40.000Z,"US Banking News
@AmericanBanking
·
Feb 15, 2019Seaport Global Securities Analysts Reduce Earnings Estimates for FMC Corp $FMC http://americanbankingnews.com/?p=9533492 #stocks",,,,negative
Community Financial,@CFinancialNews,2019-02-15T13:24:38.000Z,"Community Financial
@CFinancialNews
·
Feb 15, 2019FMC Corp $FMC to Post Q1 2019 Earnings of $1.64 Per Share, KeyCorp Forecasts http://americanbankingnews.com/?p=9533495 #markets",,,,neutral
Enterprise Leader,@EnterpriseLeade,2019-02-15T13:23:42.000Z,"Enterprise Leader
@EnterpriseLeade
·
Feb 15, 2019Seaport Global Securities Analysts Reduce Earnings Estimates for FMC Corp $FMC  http://theenterpriseleader.com/?p=1884172",,,,negative
Watchlist News,@WatchlistN,2019-02-15T13:22:35.000Z,"Watchlist News
@WatchlistN
·
Feb 15, 2019FMC Corp $FMC to Post Q1 2019 Earnings of $1.64 Per Share, KeyCorp Forecasts http://zpr.io/gN9VR",,,,positive
CropLifeIndia,@CropLifeIndia,2019-02-15T13:07:36.000Z,"CropLifeIndia
@CropLifeIndia
·
Feb 15, 2019Courtesy 
@Amitkha59988933
 -Exhibition of spurious/illegal/counterfeit #Pesticides from 7 #states of #india at 
@ficci_india
 roundtable on ""Supporting Farmers with Quality Crop Products""
@CropLifeIntl
 @CropLifeAsia
 @ficci_india
 @FMCCorp
1",,,1.0,neutral
Seal SRL,@SealSRL,2019-02-15T12:25:10.000Z,"Seal SRL
@SealSRL
·
Feb 15, 2019Nuevos Carteles 
@FMCCorp
 de la empresa Luján Agrícola en Luján de Cuyo Mendoza. #Imagen #Carteles #Compromiso.",,,,neutral
CropLifeIndia,@CropLifeIndia,2019-02-15T11:58:38.000Z,"CropLifeIndia
@CropLifeIndia
·
Feb 15, 2019Mr. 
@rajukap
, Director, Public Affairs, 
@FMCCorp
 speaking on Counterfeit pesticides and role being played by 
@CropLifeIndia
 at 
@ficci_india
's Roundtable on Supporting farmers with Quality Crop Protection Products..
FICCI and 5 others
3
2",,3.0,2.0,neutral
CropLifeIndia,@CropLifeIndia,2019-02-15T11:40:34.000Z,"CropLifeIndia
@CropLifeIndia
·
Feb 15, 2019Mr. David Penna, Stewardship Lead, 
@FMCCorp
 speaking on Counterfeit pesticides and its effects in various countries at 
@ficci_india
 's Roundtable on Supporting farmers with Quality Crop Protection Products.
FMC Corporation and 3 others",,,,neutral
Ticker Report,@TickerReport,2019-02-15T06:35:24.000Z,"Ticker Report
@TickerReport
·
Feb 15, 2019Jefferies Financial Group Equities Analysts Reduce Earnings Estimates for FMC Corp $FMC http://tickerreport.com/?p=4152688",,,,negative
MidEast Times,@midetimes,2019-02-15T06:32:28.000Z,"MidEast Times
@midetimes
·
Feb 15, 2019Jefferies Financial Group Equities Analysts Reduce Earnings Estimates for FMC Corp $FMC http://dailypolitical.com/?p=2720774 #stocks",,,,negative
Daily Political,@dailypoliticaln,2019-02-15T06:32:27.000Z,"Daily Political
@dailypoliticaln
·
Feb 15, 2019Jefferies Financial Group Equities Analysts Reduce Earnings Estimates for FMC Corp $FMC http://dailypolitical.com/?p=2720774",,,,negative
Money Making Articles Hot Stuff,@mmahotstuff1,2019-02-15T06:20:02.000Z,"Money Making Articles Hot Stuff
@mmahotstuff1
·
Feb 15, 2019Larry Robbins's Glenview Capital Management: Fmc Corp Reports decreased Stake  https://mmahotstuff.com/2019/02/15/larry-robbinss-glenview-capital-management-fmc-corp-reports-decreased-stake.html…",,,,negative
WhatsOnThorold,@whatsonthorold2,2019-02-15T06:19:44.000Z,"WhatsOnThorold
@whatsonthorold2
·
Feb 15, 2019Larry Robbins's Glenview Capital Management Sold More Fmc Corp Shares  https://whatsonthorold.com/2019/02/15/larry-robbinss-glenview-capital-management-sold-more-fmc-corp-shares/…",,,,neutral
REurope,@reurope_stock,2019-02-15T06:19:25.000Z,"REurope
@reurope_stock
·
Feb 15, 2019Larry Robbins's Glenview Capital Management: Fmc Corp Position decreased https://reurope.com/2019/02/15/larry-robbinss-glenview-capital-management-fmc-corp-position-decreased/…",,,,negative
Red Cross Philadelphia,@RedCrossPhilly,2019-02-14T18:00:13.000Z,"Red Cross Philadelphia
@RedCrossPhilly
·
Feb 14, 2019For more than 100 years, we have been there to help our communities in times of need. Thank you to our #Ready365 partner, 
@FMCCorp
3
1",,3.0,1.0,neutral
Fintel,@fintel_io,2019-02-14T17:12:06.000Z,"Fintel
@fintel_io
·
Feb 14, 2019Fmc Corp has filed a new 13G, reporting 84.25% ownership in $LTHM - https://fintel.io/so/us/lthm",,,,neutral
Stock Market Intellects,@smintellects,2019-02-14T15:44:40.000Z,"Stock Market Intellects
@smintellects
·
Feb 14, 2019KeyBanc Cuts FMC Corp. (NYSE:FMC) Target Price To $ 105.00 https://stockmarketintellects.com/keybanc-cuts-fmc-corp-nysefmc-target-price-to-105-00/…",,,,negative
Maximum Pest Control Services,@maxipestcontrol,2019-02-14T15:08:03.000Z,"Maximum Pest Control Services
@maxipestcontrol
·
Feb 14, 2019FMC Corp (FMC) Position Cut by Clarus Wealth Advisors - Fairfield Current http://dlvr.it/Qytwtg",,,,negative
BlackCentaur,@JacekWierzbicki,2019-02-14T15:02:23.000Z,"BlackCentaur
@JacekWierzbicki
·
Feb 14, 2019FMC Corp. stock price target cut to $105 from $112 at KeyBanc Capital #news",,,,negative
Trade For Profit,@TFPdaily,2019-02-14T14:09:42.000Z,"Trade For Profit
@TFPdaily
·
Feb 14, 2019FMC Corp. stock price target cut to $105 from $112 at KeyBanc Capital https://hedgeaccordingly.com/fmc-corp-stock-price-target-cut-to-105-from-112-at-keybanc-capital/…",,,,negative
Dakota Financial,@dakotafinancial,2019-02-14T11:47:55.000Z,"Dakota Financial
@dakotafinancial
·
Feb 14, 2019Analysts Offer Predictions for FMC Corp’s Q1 2019 Earnings $FMC http://dakotafinancialnews.com/?p=837601",,,,neutral
Community Financial,@CFinancialNews,2019-02-14T11:47:53.000Z,"Community Financial
@CFinancialNews
·
Feb 14, 2019Q1 2019 EPS Estimates for FMC Corp $FMC Decreased by Jefferies Financial Group http://americanbankingnews.com/?p=9521111 #markets",,,,neutral
US Banking News,@AmericanBanking,2019-02-14T11:47:51.000Z,"US Banking News
@AmericanBanking
·
Feb 14, 2019Q1 2019 EPS Estimates for FMC Corp $FMC Decreased by Jefferies Financial Group http://americanbankingnews.com/?p=9521111 #stocks",,,,neutral
Community Financial,@CFinancialNews,2019-02-14T11:47:30.000Z,"Community Financial
@CFinancialNews
·
Feb 14, 2019Analysts Offer Predictions for FMC Corp’s Q1 2019 Earnings $FMC http://americanbankingnews.com/?p=9521132 #markets",,,,neutral
WKRB News,@WKRBNews,2019-02-14T11:44:32.000Z,"WKRB News
@WKRBNews
·
Feb 14, 2019Q1 2019 Earnings Estimate for FMC Corp $FMC Issued By Jefferies Financial Group http://wkrb13.com/?p=903580 #markets",,,,neutral
Centerforce USA,@cfsummits,2019-02-13T20:27:00.000Z,"Centerforce USA
@cfsummits
·
Feb 13, 2019@McNeesLaw
 is sponsoring Women #Diversity & Change Summit #Philadelphia 3/20. Of Counsel, Meera Modi will speak on the 'Self-Advocacy & Countering Personal Negation' panel alongside general counsel from 
@FMCCorp
 @Innocoll
 @AscensusInc
- https://bit.ly/2RfS9AY #WILL2019 #cfsummits
1
1",,1.0,1.0,neutral
Stock Market Intellects,@smintellects,2019-02-13T18:35:19.000Z,"Stock Market Intellects
@smintellects
·
Feb 13, 2019Nomura Raises FMC Corp. (NYSE:FMC) Target Price To $ 93.00 https://stockmarketintellects.com/nomura-raises-fmc-corp-nysefmc-target-price-to-93-00/…",,,,neutral
Stock Market Intellects,@smintellects,2019-02-13T18:33:59.000Z,"Stock Market Intellects
@smintellects
·
Feb 13, 2019Credit Suisse Group Cuts FMC Corp. (NYSE:FMC) Target Price To $ 112.00 https://stockmarketintellects.com/credit-suisse-group-cuts-fmc-corp-nysefmc-target-price-to-112-00/…",,,,negative
Audrey Domenach,@adomenach,2019-02-13T17:59:02.000Z,"Audrey Domenach
@adomenach
·
Feb 13, 2019 Today I had a lovely day  in Geneva training communication people from 
@FMCCorp
 to #socialmedia strategy! I feel grateful for their attention, good work and conversation #lovemyjob #agriculture #TeamFMCAgro
Emilien_SIMPLE and 3 others
3
10",,3.0,10.0,neutral
ResearchPool,@ResearchPool,2019-02-13T16:10:14.000Z,"ResearchPool
@ResearchPool
·
Feb 13, 2019$FMC #FMC Corp. FMCs Crop Chemical Pipeline Reduces Patent Expiration Risk: FMC reported high-level 2018 results that were above our expectations as greater agricultural solutions segment performance and lower taxes increased profits. FMC's 2019 guidance…
app.researchpool.com
Morningstar - FMC Corporation (FMC) FMCs Crop Chemical Pipeline Reduces Patent Expiration Risk
FMC reported high-level 2018 results that were above our expectations as greater agricultural solutions segment performance and lower taxes increased profits. FMC's 2019 guidance of agricultural solut",,,,positive
@campo360,@campo360,2019-02-13T14:05:33.000Z,"@campo360
@Campo360
·
Feb 13, 2019RT apriledaniel """"Demostrativo a campo"": #Herbicidas residuales en #Soja http://bit.ly/2tkXWb9 #Agro #Argentina #Córdoba #FMC ifraschina FMCCorp """,,,,neutral
Daniel Aprile,@apriledaniel,2019-02-13T14:05:11.000Z,"Daniel Aprile
@apriledaniel
·
Feb 13, 2019""Demostrativo a campo"": #Herbicidas residuales en #Soja http://bit.ly/2tkXWb9 #Agro #Argentina #Córdoba #FMC 
@ifraschina
 @FMCCorp
3
3",,3.0,3.0,neutral
Agrolinkweb,@agrolinkweb,2019-02-13T14:05:10.000Z,"Agrolinkweb
@agrolinkweb
·
Feb 13, 2019""Demostrativo a campo"": #Herbicidas residuales en #Soja http://bit.ly/2tkXWb9 #Agro #Argentina #Córdoba #FMC 
@ifraschina
 @FMCCorp",,,,neutral
SIAnalystWire,@AnalystWire,2019-02-13T12:59:22.000Z,"SIAnalystWire
@AnalystWire
·
Feb 13, 2019FMC Corp. $FMC PT Raised to $86 at Baird
streetinsider.com
FMC Corp. (FMC) PT Raised to $86 at Baird
Baird analyst Ben Kallo raised the price target on FMC Corp. (NYSE: FMC) to $86.00 (from $77.00) while maintaining a Neutral rating.
2",,,2.0,positive
SIAnalystWire,@AnalystWire,2019-02-13T11:35:48.000Z,"SIAnalystWire
@AnalystWire
·
Feb 13, 2019FMC Corp. $FMC PT Raised to $94 at Citi
streetinsider.com
FMC Corp. (FMC) PT Raised to $94 at Citi
Citi analyst Daniel Jester raised the price target on FMC Corp. (NYSE: FMC) to $94.00 (from $91.00) while maintaining a Buy rating.
1",,,1.0,positive
Stockflare US Page,@StockflareUS,2019-02-13T09:37:24.000Z,"Stockflare US Page
@StockflareUS
·
Feb 13, 2019$FMC: FMC Corp has lost a star, now a 4 star stock. (https://stockflare.com/stock/FMC)",,,,negative
Jefet.eth,@0xjefe,2019-02-13T04:34:50.000Z,"Jefet.eth
@0xjefe
·
Feb 13, 2019Look at what they been able to achieve in Japan and with large companies like 
@Tesla
 and 
@FMCCorp
 large scale battery charging could change the outdated infrastructure",,,,neutral
